DB,MDMS
Any Other,NONRESIDENTIAL.OTHERS
Industrial Unit,INDUSTRIAL
Residential,RESIDENTIAL
Mall   ,MALLS
Other Property,NONRESIDENTIAL.OTHERS
COMMERCIAL COMPLEX,NONRESIDENTIAL.COMMERCIAL
HOSTEL  AND EDUCATIONAL INSTITUTION (NOT U/S 177),INSTITUTIONAL
Marriage Club,MARRIAGEPALACE
NURSING HOME & HOSPITAL,PVTHOSPITAL
MARRIAGE HOME,MARRIAGEPALACE
PUBLIC UNDERTAKING OFFICE,OFFICESPACE
GOVERNMENT OFFICE,OFFICESPACE
INDUSTRIAL UNITS,INDUSTRIAL
COLLEGE,COLLEGES
Hospital,PVTHOSPITAL
REASTUARANT WHERE FOOD IS SERVED WITH WINE,FOODJOINTS
COACHING TRAINING INSTITUTE (NON AIDED),TRAININGINSTITUTES
OTHER NON-RESIDENTIAL BUILDING,NONRESIDENTIAL
Community Centre,COMMUNITYHALL
Shops and Others,NONRESIDENTIAL.OTHERS
Non-Residential,NONRESIDENTIAL
any other tower on Land or Building,NONRESIDENTIAL.OTHERS
COMMUNITY BUILDING ,COMMUNITYHALL
Nursing Home,HOMESFORSPECIALCARE
MEDICAL STORE,MEDICALFACILITY
HOUSE WITH HOARDING,WAREHOUSE
HOTELS UPTO THREE STAR,HOTELS
RESIDENTIAL,RESIDENTIAL
PRIVATE HOTELS,HOTELS
Commercial,NONRESIDENTIAL.COMMERCIAL
Education Institute,EDUCATIONAL
Mixed,MIXED
ANY OTHER TOWER SITUATED ON THE BUILDING ,NONRESIDENTIAL
RELIGIOUS SITES,RELIGIOUSINSTITUTION
FOUR STAR AND UPPER LEVEL HOTELS ,HOTELS
SEMI GOVERNMENT OFFICE,OFFICESPACE
MALL,MALLS
PRIVATE OFFICE,OFFICESPACE
TRAINING INSTITUTE,TRAININGINSTITUTES
MARRIAGE CLUB,MARRIAGEPALACE
COMMERCIAL/SCHOOL,NONRESIDENTIAL.COMMERCIAL
HEALTH CARE CENTER,HOMESFORSPECIALCARE
Hotel,HOTELS
